setting,classifier,rate
"[('frontal', 'hututu'), ('whole', 'husiq')]",KNN_manhattam,34.15
"[('frontal', 'hututu'), ('whole', 'zernike')]",KNN_manhattam,36.27
"[('frontal', 'hututu'), ('whole', 'legendre')]",KNN_manhattam,39.3
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",KNN_manhattam,42.41
"[('frontal', 'hututu'), ('upper', 'spheric')]",KNN_manhattam,37.57
"[('frontal', 'hututu'), ('upper', 'hututu')]",KNN_manhattam,40.34
"[('frontal', 'hututu'), ('upper', 'hu1980')]",KNN_manhattam,32.04
"[('frontal', 'hututu'), ('upper', 'husiq')]",KNN_manhattam,35.15
"[('frontal', 'hututu'), ('upper', 'zernike')]",KNN_manhattam,36.23
"[('frontal', 'hututu'), ('upper', 'legendre')]",KNN_manhattam,40.88
"[('frontal', 'hututu'), ('upper', 'chebyshev')]",KNN_manhattam,42.91
"[('frontal', 'hututu'), ('lower', 'spheric')]",KNN_manhattam,32.92
"[('frontal', 'hututu'), ('lower', 'hututu')]",KNN_manhattam,34.5
"[('frontal', 'hututu'), ('lower', 'hu1980')]",KNN_manhattam,31.73
"[('frontal', 'hututu'), ('lower', 'husiq')]",KNN_manhattam,34.0
"[('frontal', 'hututu'), ('lower', 'zernike')]",KNN_manhattam,35.88
"[('frontal', 'hututu'), ('lower', 'legendre')]",KNN_manhattam,34.54
"[('frontal', 'hututu'), ('lower', 'chebyshev')]",DMC_manhattam,34.38
"[('frontal', 'hu1980'), ('frontal', 'husiq')]",KNN_manhattam,34.38
"[('frontal', 'hu1980'), ('frontal', 'zernike')]",KNN_manhattam,28.01
"[('frontal', 'hu1980'), ('frontal', 'legendre')]",KNN_manhattam,46.75
"[('frontal', 'hu1980'), ('frontal', 'chebyshev')]",KNN_manhattam,47.75
"[('frontal', 'hu1980'), ('radial', 'spheric')]",KNN_manhattam,44.37
"[('frontal', 'hu1980'), ('radial', 'hututu')]",KNN_manhattam,33.38
"[('frontal', 'hu1980'), ('radial', 'hu1980')]",KNN_euclidean,28.35
"[('frontal', 'hu1980'), ('radial', 'husiq')]",KNN_euclidean,35.46
"[('frontal', 'hu1980'), ('radial', 'zernike')]",KNN_euclidean,25.89
"[('frontal', 'hu1980'), ('radial', 'legendre')]",KNN_euclidean,44.53
"[('frontal', 'hu1980'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hu1980'), ('sagittal', 'spheric')]",KNN_manhattam,40.84
"[('frontal', 'hu1980'), ('sagittal', 'hututu')]",KNN_manhattam,37.92
"[('frontal', 'hu1980'), ('sagittal', 'hu1980')]",KNN_manhattam,35.04
"[('frontal', 'hu1980'), ('sagittal', 'husiq')]",KNN_manhattam,37.15
"[('frontal', 'hu1980'), ('sagittal', 'zernike')]",KNN_euclidean,27.58
"[('frontal', 'hu1980'), ('sagittal', 'legendre')]",KNN_manhattam,46.45
"[('frontal', 'hu1980'), ('sagittal', 'chebyshev')]",KNN_manhattam,49.21
"[('frontal', 'hu1980'), ('transversal', 'spheric')]",KNN_manhattam,37.99
"[('frontal', 'hu1980'), ('transversal', 'hututu')]",KNN_manhattam,53.13
"[('frontal', 'hu1980'), ('transversal', 'hu1980')]",KNN_manhattam,38.46
"[('frontal', 'hu1980'), ('transversal', 'husiq')]",KNN_manhattam,46.6
"[('frontal', 'hu1980'), ('transversal', 'zernike')]",KNN_euclidean,27.74
"[('frontal', 'hu1980'), ('transversal', 'legendre')]",KNN_manhattam,51.56
"[('frontal', 'hu1980'), ('transversal', 'chebyshev')]",KNN_manhattam,52.63
"[('frontal', 'hu1980'), ('whole', 'spheric')]",KNN_manhattam,42.41
"[('frontal', 'hu1980'), ('whole', 'hututu')]",KNN_manhattam,38.76
"[('frontal', 'hu1980'), ('whole', 'hu1980')]",KNN_manhattam,29.97
"[('frontal', 'hu1980'), ('whole', 'husiq')]",KNN_manhattam,37.07
"[('frontal', 'hu1980'), ('whole', 'zernike')]",KNN_manhattam,27.28
"[('frontal', 'hu1980'), ('whole', 'legendre')]",KNN_manhattam,46.6
"[('frontal', 'hu1980'), ('whole', 'chebyshev')]",KNN_manhattam,49.48
"[('frontal', 'hu1980'), ('upper', 'spheric')]",KNN_manhattam,35.65
"[('frontal', 'hu1980'), ('upper', 'hututu')]",KNN_manhattam,46.75
"[('frontal', 'hu1980'), ('upper', 'hu1980')]",KNN_manhattam,31.23
"[('frontal', 'hu1980'), ('upper', 'husiq')]",KNN_manhattam,39.38
"[('frontal', 'hu1980'), ('upper', 'zernike')]",KNN_manhattam,27.51
"[('frontal', 'hu1980'), ('upper', 'legendre')]",KNN_manhattam,45.6
"[('frontal', 'hu1980'), ('upper', 'chebyshev')]",KNN_manhattam,47.14
"[('frontal', 'hu1980'), ('lower', 'spheric')]",KNN_manhattam,25.93
"[('frontal', 'hu1980'), ('lower', 'hututu')]",KNN_euclidean,39.22
"[('frontal', 'hu1980'), ('lower', 'hu1980')]",KNN_euclidean,30.46
"[('frontal', 'hu1980'), ('lower', 'husiq')]",KNN_manhattam,35.92
"[('frontal', 'hu1980'), ('lower', 'zernike')]",KNN_manhattam,28.62
"[('frontal', 'hu1980'), ('lower', 'legendre')]",KNN_manhattam,32.5
"[('frontal', 'hu1980'), ('lower', 'chebyshev')]",KNN_manhattam,35.31
"[('frontal', 'husiq'), ('frontal', 'zernike')]",KNN_manhattam,30.58
"[('frontal', 'husiq'), ('frontal', 'legendre')]",KNN_manhattam,47.02
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",KNN_manhattam,48.67
"[('frontal', 'husiq'), ('radial', 'spheric')]",KNN_manhattam,41.41
"[('frontal', 'husiq'), ('radial', 'hututu')]",KNN_manhattam,36.84
"[('frontal', 'husiq'), ('radial', 'hu1980')]",KNN_manhattam,31.04
"[('frontal', 'husiq'), ('radial', 'husiq')]",KNN_manhattam,32.92
"[('frontal', 'husiq'), ('radial', 'zernike')]",KNN_manhattam,31.08
"[('frontal', 'husiq'), ('radial', 'legendre')]",KNN_manhattam,43.37
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'husiq'), ('sagittal', 'spheric')]",KNN_manhattam,42.03
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",KNN_manhattam,40.95
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",KNN_manhattam,34.88
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",KNN_manhattam,35.88
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",KNN_euclidean,29.12
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",KNN_manhattam,47.64
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",KNN_manhattam,49.9
"[('frontal', 'husiq'), ('transversal', 'spheric')]",KNN_manhattam,41.61
"[('frontal', 'husiq'), ('transversal', 'hututu')]",KNN_manhattam,55.17
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",KNN_manhattam,39.65
"[('frontal', 'husiq'), ('transversal', 'husiq')]",KNN_manhattam,43.22
"[('frontal', 'husiq'), ('transversal', 'zernike')]",KNN_euclidean,30.23
"[('frontal', 'husiq'), ('transversal', 'legendre')]",KNN_manhattam,54.05
"[('frontal', 'husiq'), ('transversal', 'chebyshev')]",KNN_manhattam,54.05
"[('frontal', 'husiq'), ('whole', 'spheric')]",KNN_manhattam,40.76
"[('frontal', 'husiq'), ('whole', 'hututu')]",KNN_manhattam,41.38
"[('frontal', 'husiq'), ('whole', 'hu1980')]",KNN_euclidean,31.92
"[('frontal', 'husiq'), ('whole', 'husiq')]",KNN_manhattam,33.12
"[('frontal', 'husiq'), ('whole', 'zernike')]",KNN_manhattam,33.77
"[('frontal', 'husiq'), ('whole', 'legendre')]",KNN_manhattam,45.1
"[('frontal', 'husiq'), ('whole', 'chebyshev')]",KNN_manhattam,47.41
"[('frontal', 'husiq'), ('upper', 'spheric')]",KNN_manhattam,37.65
"[('frontal', 'husiq'), ('upper', 'hututu')]",KNN_manhattam,46.56
"[('frontal', 'husiq'), ('upper', 'hu1980')]",KNN_manhattam,32.19
