setting,classifier,rate
"[('frontal', 'hututu'), ('lower', 'legendre')]",KNN_manhattam,86.08
"[('frontal', 'hututu'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'hu1980'), ('frontal', 'legendre')]",KNN_manhattam,92.27
"[('frontal', 'hu1980'), ('frontal', 'chebyshev')]",KNN_manhattam,92.78
"[('frontal', 'hu1980'), ('frontal', 'zernike')]",KNN_manhattam,88.14
"[('frontal', 'hu1980'), ('radial', 'husiq')]",KNN_manhattam,81.44
"[('frontal', 'hu1980'), ('radial', 'hututu')]",KNN_manhattam,78.35
"[('frontal', 'hu1980'), ('radial', 'hu1980')]",KNN_manhattam,75.77
"[('frontal', 'hu1980'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'hu1980'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'hu1980'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'hu1980'), ('sagittal', 'husiq')]",KNN_manhattam,83.51
"[('frontal', 'hu1980'), ('sagittal', 'hututu')]",KNN_manhattam,79.9
"[('frontal', 'hu1980'), ('sagittal', 'hu1980')]",KNN_manhattam,71.65
"[('frontal', 'hu1980'), ('sagittal', 'legendre')]",KNN_euclidean,88.14
"[('frontal', 'hu1980'), ('sagittal', 'chebyshev')]",KNN_manhattam,85.05
"[('frontal', 'hu1980'), ('sagittal', 'zernike')]",MLP,88.14
"[('frontal', 'hu1980'), ('transversal', 'husiq')]",KNN_manhattam,88.66
"[('frontal', 'hu1980'), ('transversal', 'hututu')]",KNN_manhattam,87.11
"[('frontal', 'hu1980'), ('transversal', 'hu1980')]",KNN_euclidean,77.84
"[('frontal', 'hu1980'), ('transversal', 'legendre')]",KNN_manhattam,92.27
"[('frontal', 'hu1980'), ('transversal', 'chebyshev')]",KNN_manhattam,85.05
"[('frontal', 'hu1980'), ('transversal', 'zernike')]",MLP,77.84
"[('frontal', 'hu1980'), ('whole', 'husiq')]",KNN_euclidean,80.93
"[('frontal', 'hu1980'), ('whole', 'hututu')]",KNN_euclidean,75.77
"[('frontal', 'hu1980'), ('whole', 'hu1980')]",KNN_manhattam,68.04
"[('frontal', 'hu1980'), ('whole', 'legendre')]",KNN_manhattam,88.14
"[('frontal', 'hu1980'), ('whole', 'chebyshev')]",KNN_manhattam,84.02
"[('frontal', 'hu1980'), ('whole', 'zernike')]",KNN_manhattam,88.66
"[('frontal', 'hu1980'), ('upper', 'husiq')]",MLP,68.56
"[('frontal', 'hu1980'), ('upper', 'hututu')]",KNN_euclidean,75.26
"[('frontal', 'hu1980'), ('upper', 'hu1980')]",KNN_euclidean,60.82
"[('frontal', 'hu1980'), ('upper', 'legendre')]",KNN_euclidean,81.44
"[('frontal', 'hu1980'), ('upper', 'chebyshev')]",KNN_manhattam,78.87
"[('frontal', 'hu1980'), ('upper', 'zernike')]",KNN_manhattam,81.44
