setting,classifier,rate
"[('frontal', 'hututu'), ('whole', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'hututu'), ('whole', 'zernike')]",KNN_manhattam,49.48
"[('frontal', 'hututu'), ('whole', 'legendre')]",KNN_manhattam,57.22
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",KNN_manhattam,53.61
"[('frontal', 'hututu'), ('upper', 'spheric')]",KNN_manhattam,49.48
"[('frontal', 'hututu'), ('upper', 'hututu')]",KNN_manhattam,52.06
"[('frontal', 'hututu'), ('upper', 'hu1980')]",KNN_manhattam,46.39
"[('frontal', 'hututu'), ('upper', 'husiq')]",KNN_manhattam,50.0
"[('frontal', 'hututu'), ('upper', 'zernike')]",KNN_manhattam,48.97
"[('frontal', 'hututu'), ('upper', 'legendre')]",KNN_manhattam,51.55
"[('frontal', 'hututu'), ('upper', 'chebyshev')]",KNN_manhattam,50.0
"[('frontal', 'hututu'), ('lower', 'spheric')]",KNN_manhattam,47.94
"[('frontal', 'hututu'), ('lower', 'hututu')]",KNN_manhattam,54.64
"[('frontal', 'hututu'), ('lower', 'hu1980')]",KNN_manhattam,47.42
"[('frontal', 'hututu'), ('lower', 'husiq')]",KNN_manhattam,49.48
"[('frontal', 'hututu'), ('lower', 'zernike')]",KNN_manhattam,50.52
"[('frontal', 'hututu'), ('lower', 'legendre')]",KNN_manhattam,53.09
"[('frontal', 'hututu'), ('lower', 'chebyshev')]",KNN_manhattam,54.12
"[('frontal', 'hu1980'), ('frontal', 'husiq')]",KNN_manhattam,51.55
"[('frontal', 'hu1980'), ('frontal', 'zernike')]",KNN_manhattam,32.99
"[('frontal', 'hu1980'), ('frontal', 'legendre')]",KNN_manhattam,52.58
"[('frontal', 'hu1980'), ('frontal', 'chebyshev')]",KNN_manhattam,53.61
"[('frontal', 'hu1980'), ('radial', 'spheric')]",KNN_manhattam,62.37
"[('frontal', 'hu1980'), ('radial', 'hututu')]",KNN_manhattam,70.62
"[('frontal', 'hu1980'), ('radial', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'hu1980'), ('radial', 'husiq')]",KNN_manhattam,64.95
"[('frontal', 'hu1980'), ('radial', 'zernike')]",KNN_euclidean,34.02
"[('frontal', 'hu1980'), ('radial', 'legendre')]",KNN_euclidean,63.4
"[('frontal', 'hu1980'), ('radial', 'chebyshev')]",KNN_manhattam,61.86
"[('frontal', 'hu1980'), ('sagittal', 'spheric')]",KNN_manhattam,64.95
"[('frontal', 'hu1980'), ('sagittal', 'hututu')]",KNN_manhattam,62.37
"[('frontal', 'hu1980'), ('sagittal', 'hu1980')]",KNN_manhattam,70.1
"[('frontal', 'hu1980'), ('sagittal', 'husiq')]",KNN_manhattam,60.82
"[('frontal', 'hu1980'), ('sagittal', 'zernike')]",KNN_euclidean,29.38
"[('frontal', 'hu1980'), ('sagittal', 'legendre')]",KNN_euclidean,72.16
"[('frontal', 'hu1980'), ('sagittal', 'chebyshev')]",KNN_euclidean,67.53
"[('frontal', 'hu1980'), ('transversal', 'spheric')]",KNN_manhattam,66.49
"[('frontal', 'hu1980'), ('transversal', 'hututu')]",KNN_manhattam,74.23
"[('frontal', 'hu1980'), ('transversal', 'hu1980')]",KNN_manhattam,68.56
"[('frontal', 'hu1980'), ('transversal', 'husiq')]",KNN_manhattam,76.8
"[('frontal', 'hu1980'), ('transversal', 'zernike')]",KNN_euclidean,28.35
"[('frontal', 'hu1980'), ('transversal', 'legendre')]",KNN_manhattam,71.65
"[('frontal', 'hu1980'), ('transversal', 'chebyshev')]",KNN_manhattam,68.56
"[('frontal', 'hu1980'), ('whole', 'spheric')]",KNN_manhattam,62.89
"[('frontal', 'hu1980'), ('whole', 'hututu')]",KNN_manhattam,63.92
"[('frontal', 'hu1980'), ('whole', 'hu1980')]",KNN_manhattam,56.19
"[('frontal', 'hu1980'), ('whole', 'husiq')]",KNN_manhattam,63.4
"[('frontal', 'hu1980'), ('whole', 'zernike')]",KNN_euclidean,39.69
"[('frontal', 'hu1980'), ('whole', 'legendre')]",KNN_manhattam,65.46
"[('frontal', 'hu1980'), ('whole', 'chebyshev')]",KNN_manhattam,58.76
"[('frontal', 'hu1980'), ('upper', 'spheric')]",KNN_manhattam,45.36
"[('frontal', 'hu1980'), ('upper', 'hututu')]",KNN_manhattam,57.73
"[('frontal', 'hu1980'), ('upper', 'hu1980')]",KNN_manhattam,52.06
"[('frontal', 'hu1980'), ('upper', 'husiq')]",KNN_manhattam,50.0
"[('frontal', 'hu1980'), ('upper', 'zernike')]",KNN_euclidean,30.41
"[('frontal', 'hu1980'), ('upper', 'legendre')]",KNN_manhattam,53.61
"[('frontal', 'hu1980'), ('upper', 'chebyshev')]",KNN_manhattam,49.48
"[('frontal', 'hu1980'), ('lower', 'spheric')]",KNN_manhattam,41.24
"[('frontal', 'hu1980'), ('lower', 'hututu')]",KNN_manhattam,58.76
"[('frontal', 'hu1980'), ('lower', 'hu1980')]",KNN_manhattam,52.58
"[('frontal', 'hu1980'), ('lower', 'husiq')]",KNN_euclidean,54.64
"[('frontal', 'hu1980'), ('lower', 'zernike')]",KNN_euclidean,40.21
